City,Country Code,Lat,Lng,Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%)
Lima,PE,-12.06,-77.04,78.26,69,6.93,0
Kangaatsiaq,GL,68.31,-53.46,13.85,100,1.25,36
Port Alfred,ZA,-33.59,26.89,68.47,92,5.01,24
Katsuura,JP,33.93,134.5,43.72,86,9.17,20
Norman Wells,CA,65.28,-126.83,21.2,85,3.36,90
Coihaique,CL,-45.58,-72.07,52.29,54,5.82,75
Puerto Ayora,EC,-0.74,-90.35,86,66,12.75,75
Bredasdorp,ZA,-34.53,20.04,63.61,68,1.12,24
Laguna,MX,27.52,-110.01,84.2,26,9.17,40
Skibbereen,IE,51.55,-9.27,37.4,86,10.29,40
Hobart,AU,-42.88,147.33,54.86,87,8.05,0
Horsham,AU,-36.71,142.2,58.58,82,8.63,56
Fort Abbas,PK,29.19,72.85,51.65,86,3.04,0
Caravelas,BR,-17.73,-39.27,81.67,100,14.56,68
Wodonga,AU,-36.12,146.89,72.81,56,5.82,40
Oranjemund,ZA,-28.55,16.43,64.3,90,13.67,68
Albany,US,42.65,-73.75,26.24,46,21.92,20
Togur,RU,58.36,82.83,32.08,91,11.32,92
Pimentel,BR,-3.7,-45.5,79.1,85,3.94,88
Namibe,AO,-15.19,12.15,77.89,100,6.85,20
Provideniya,RU,64.42,-173.23,30.37,96,10.98,88
Tuatapere,NZ,-46.13,167.69,71.01,76,1.99,12
Shimoda,JP,34.7,138.93,44.74,87,4.7,75
Cape Town,ZA,-33.93,18.42,64.06,72,14.99,0
New Norfolk,AU,-42.78,147.06,55.47,87,8.05,0
Luanda,AO,-8.83,13.24,84.2,79,4.7,75
Bambous Virieux,MU,-20.34,57.76,78.13,78,1.12,20
Najran,SA,17.54,44.22,68,24,2.71,5
Cabanas,ES,43.42,-8.16,48.63,76,6.93,20
Yushan,CN,31.68,118.49,48.2,70,4.47,92
Ca Mau,VN,9.18,105.15,70.82,100,4.16,68
Haicheng,CN,40.85,122.74,22.36,70,2.93,0
Vorukh,KG,39.85,70.57,17.18,93,0.25,56
Tiksi,RU,71.64,128.87,-13.15,60,7.96,0
Warangal,IN,17.99,79.6,75.64,71,10.2,0
Wamba,CD,2.14,27.99,71.68,78,2.15,44
Kasempa,ZM,-13.46,25.83,68.75,76,2.48,48
Matara,PE,-13.74,-72.9,54.58,75,2.48,76
Campbell River,CA,50.02,-125.24,39.43,32,6.93,20
Nome,US,30.04,-94.42,38.16,69,11.41,90
Castro,CL,-42.48,-73.76,59,58,17.22,75
Praia da Vitoria,PT,38.73,-27.07,62.24,88,33.58,75
Bathsheba,BB,13.22,-59.52,80.6,69,19.46,40
Ancud,CL,-41.87,-73.83,59,58,17.22,75
Butaritari,KI,3.07,172.79,82.43,100,19.04,68
Twentynine Palms,US,34.14,-116.05,67.46,26,4.7,1
Chuy,UY,-33.69,-53.46,84.91,61,10.98,88
Hithadhoo,MV,-0.6,73.08,83.65,100,6.06,92
Port Elizabeth,US,39.31,-74.98,37.63,47,14.99,20
Anadyr,RU,64.73,177.51,29.08,86,33.55,75
Chernyshevskiy,RU,63.01,112.47,11.42,80,7.96,36
Hobyo,SO,5.35,48.53,76.99,89,11.99,12
La Ronge,CA,55.1,-105.3,19.4,48,11.41,5
Kaitangata,NZ,-46.28,169.85,70,59,5.99,0
Lompoc,US,34.64,-120.46,60.22,59,6.93,40
Mahebourg,MU,-20.41,57.7,78.03,78,1.12,20
Guerrero Negro,MX,27.97,-114.04,68.57,61,9.31,24
Adrar,DZ,27.87,-0.29,68,15,10.29,0
Imbituba,BR,-28.24,-48.67,82.4,74,6.93,20
Hervey Bay,AU,-25.3,152.85,74.35,94,9.17,75
Bethel,US,60.79,-161.76,36.05,93,16.11,90
Pocoes,BR,-14.53,-40.37,82.4,39,11.41,20
Paamiut,GL,61.99,-49.67,26.59,100,8.97,48
Ampanihy,MG,-24.69,44.75,70.73,90,4.72,0
Khovu-Aksy,RU,51.13,93.72,-2.17,60,2.59,0
Dakar,SN,14.69,-17.45,68.86,52,20.8,0
Syedove,UA,47.08,38.16,36.76,83,19.71,92
Mnogovershinnyy,RU,53.94,139.92,-3.39,61,4.5,0
Port Hedland,AU,-20.31,118.58,87.8,55,8.05,12
Aykhal,RU,65.95,111.51,9.31,78,8.41,36
Pacific Grove,US,36.62,-121.92,56.66,58,8.05,1
Staszow,PL,50.56,21.17,49.77,93,3,92
Cayenne,GF,4.94,-52.33,82.4,69,11.41,100
Sao Filipe,CV,14.9,-24.5,72.58,89,18.03,0
Rocha,UY,-34.48,-54.34,77.75,76,7.29,76
Upernavik,GL,72.79,-56.15,8.05,100,4.61,88
San Cristobal,EC,-0.39,-78.55,62.87,72,11.41,75
Lakes Entrance,AU,-37.88,147.99,71.06,91,3.38,88
Lubbock,US,33.58,-101.86,26.1,45,5.82,75
Mgachi,RU,51.05,142.27,7.73,89,4.72,0
Carnarvon,ZA,-30.97,22.13,67.58,47,11.32,0
Qaanaaq,GL,77.48,-69.36,-8.2,92,7.4,0
Ikalamavony,MG,-21.17,46.6,61.6,93,2.37,8
Lavrentiya,RU,65.58,-170.99,29.38,91,13.78,80
Callaguip,PH,18.07,120.49,71.6,78,4.7,20
Avarua,CK,-21.21,-159.78,80.6,65,9.17,100
Vila Franca do Campo,PT,37.72,-25.43,62.6,93,26.4,75
Tautira,PF,-17.73,-149.15,87.39,62,8.05,20
Pizhanka,RU,57.46,48.54,2.83,64,5.28,44
Vao,EE,59.1,26.19,27.58,95,7.29,80
Chapais,CA,49.78,-74.86,8.6,42,6.93,40
Tasiilaq,GL,65.61,-37.64,6.38,100,7.18,8
Nikolskoye,RU,59.7,30.79,27.45,86,4.47,90
Severodvinsk,RU,64.56,39.82,15.8,85,6.71,90
Mar del Plata,AR,-46.43,-67.52,64.88,37,25.86,24
Udachnyy,RU,66.42,112.4,10.07,83,5.61,44
Atuona,PF,-9.8,-139.03,81.62,100,15.01,20
Peniche,PT,39.36,-9.38,54.46,71,4.7,40
Kamaishi,JP,39.28,141.86,27.4,88,6.17,8
Ryotsu,JP,38.08,138.43,46.4,70,5.82,40
Nchelenge,ZM,-9.35,28.74,67.58,89,3.71,68
Lubumbashi,CD,-11.66,27.48,70.78,66,8.63,44
Arraial do Cabo,BR,-22.97,-42.02,81.48,78,8.05,40
Constitucion,MX,23.99,-104.67,84.2,5,21.92,5
Sobolevo,RU,54.43,31.9,40.27,95,13.44,92
Lebu,ET,8.96,38.73,62.6,67,4.7,20
Dikson,RU,73.51,80.55,0.22,94,26.64,76
Charlotte,US,35.23,-80.84,49.15,42,4.7,75
Aranos,NA,-24.14,19.11,77.03,21,11.43,0
Iqaluit,CA,63.75,-68.52,-4.01,76,2.24,90
Schwerin,DE,53.63,11.41,44.64,70,23.04,75
Mora,PT,38.94,-8.17,54.09,90,4.61,64
Mitsamiouli,KM,-11.38,43.28,78.8,83,5.82,20
Oga,NG,8.18,5.65,78.97,64,11.88,20
Goulburn,AU,-34.75,149.72,65.34,77,2.48,0
Carora,VE,10.17,-70.08,92.42,30,5.61,80
Ola,RU,59.58,151.3,1.88,100,8.08,12
Kirakira,SB,-10.46,161.92,80.86,100,5.17,44
Vilhena,BR,-12.74,-60.15,77,88,13.87,75
Hilo,US,19.71,-155.08,68.27,64,11.41,90
Maumere,ID,-8.63,122.22,79.96,100,4.27,12
Rosarito,CO,4.91,-75.23,80.82,56,3.36,40
Cabo San Lucas,MX,22.89,-109.91,77.99,44,6.93,5
Nakamura,JP,35.17,136.87,46.6,66,24.16,20
Ambon,FR,47.55,-2.56,47.41,81,6.93,0
Clearwater,US,27.97,-82.8,69.89,83,9.17,90
Ayan,TR,40.67,33.6,18.94,67,1.03,0
Lancaster,US,40.04,-76.31,33.19,59,14.99,1
Saint-Philippe,CA,45.36,-73.48,23.22,45,21.92,1
Hermanus,ZA,-34.42,19.24,63,87,1.01,88
Omboue,GA,-1.57,9.26,83.11,100,9.98,80
Haines Junction,CA,60.75,-137.51,9.98,79,2.71,24
Sivas,TR,39.75,37.01,30.07,92,14.99,20
Yago,MX,21.83,-105.07,86,33,9.17,5
Ahipara,NZ,-35.17,173.16,68,99,3,8
Thompson,CA,55.74,-97.86,3.2,59,14.99,75
Vila Velha,BR,-3.71,-38.6,80.87,83,6.93,40
Chitral,PK,35.85,71.79,1.7,69,1.03,0
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,95.3,43,14.12,68
Petauke,ZM,-14.25,31.33,71.86,81,5.5,0
Tomigusuku,JP,26.18,127.67,60.13,55,4.7,75
Almenara,BR,-16.17,-40.69,84.91,48,5.06,56
San Policarpo,PH,12.18,125.51,77.62,94,13,88
Bamboo,JM,18.39,-77.27,82.4,69,18.34,40
Norsup,VU,-16.07,167.38,82.52,87,6.96,64
Sitka,US,37.17,-99.65,19,66,10,12
Itapirapua,BR,-15.82,-50.61,75.01,97,4.38,48
Malazgirt,TR,39.15,42.54,15.61,72,3.15,12
Baghdad,IQ,33.3,44.38,53.6,62,3.83,0
Panalingaan,PH,8.78,117.42,74.87,97,3.15,8
Kahului,US,20.89,-156.47,69.13,60,19.46,40
Maniitsoq,GL,65.42,-52.9,12.91,71,4.38,20
Torbay,CA,47.66,-52.73,22.93,85,9.17,90
Dharampur,IN,30.9,77.02,42.79,96,2.37,48
Jiancheng,CN,30.39,104.55,52.93,87,2.24,68
Launceston,AU,-41.43,147.14,58.73,93,3.36,75
Palmer,US,61.6,-149.11,26.02,92,2.93,40
Clyde River,CA,70.47,-68.59,-4.01,83,6.93,75
Okhotsk,RU,59.36,143.24,-0.24,100,5.17,68
Margate,AU,-43.03,147.26,54.27,87,8.05,0
Mana,RS,43.52,20.24,48.94,40,1.12,0
Ponta do Sol,BR,-20.63,-46,70.87,84,4.38,92
Airai,TL,-8.93,125.41,67,88,1.25,8
Wasilla,US,61.58,-149.44,26.19,92,2.93,40
Wajima,JP,37.4,136.9,41.26,99,6.73,0
Kupang,ID,-10.16,123.6,77,88,1.12,20
Tilichiki,RU,60.47,166.1,17.59,79,13.56,88
Zhigansk,RU,66.77,123.37,-3.93,77,3.38,64
Marsh Harbour,BS,26.54,-77.06,80.14,90,11.1,0
Bangassou,CF,4.74,22.82,76.54,72,1.59,8
Hong Gai,VN,20.96,107.09,73.4,100,5.82,90
Humberto de Campos,BR,-2.6,-43.46,74.87,100,3.27,92
Broken Hill,AU,-31.97,141.45,80.6,30,12.75,40
Comodoro Rivadavia,AR,-45.87,-67.48,68,24,28.86,40
Gamboma,CG,-1.87,15.88,73.12,89,9.31,32
Brigantine,US,39.41,-74.36,37.67,55,16.11,1
Weyburn,CA,49.67,-103.85,10,85,27,80
Carauari,BR,-4.88,-66.9,89.59,64,2.93,32
Polunochnoye,RU,60.87,60.43,10.84,76,6.4,80
Mehamn,NO,71.03,27.85,17.69,72,29.97,90
Cockburn Town,TC,21.46,-71.14,79.42,95,10.76,0
Puerto Escondido,MX,15.86,-97.07,84.2,70,9.17,40
Kangaba,ML,11.94,-8.41,73.3,32,7.96,0
Salinopolis,BR,-0.61,-47.36,78.97,100,12.21,92
Bilibino,RU,68.06,166.44,-13.11,57,1.92,32
Aklavik,CA,68.22,-135.01,24.8,68,5.82,5
Bossangoa,CF,6.5,17.45,73.75,88,3.83,48
Dingle,PH,11,122.67,75.73,83,13.22,56
Campbeltown,GB,55.43,-5.61,41.61,80,12.75,0
Narsaq,GL,60.91,-46.05,28.4,58,1.12,75
Muli,IN,22.62,71.45,61.15,59,8.19,0
Nishihara,JP,35.74,139.53,42.46,86,4.7,75
Tahe,CN,52.34,124.71,7.55,79,4.83,0
Songea,TZ,-10.68,35.65,71.6,94,2.37,5
Ballina,IE,54.11,-9.15,40.1,93,11.41,75
Saint-Paul,FR,45.22,1.9,41.63,86,4.7,75
Fortuna,ES,38.18,-1.13,59.23,48,8.05,0
Wanning,AT,48.64,13.53,42.37,95,21.92,75
Fereydun Kenar,IR,36.69,52.52,48.2,93,2.82,75
Mineiros,BR,-17.57,-52.55,79.1,68,10.2,76
Kavieng,PG,-2.57,150.8,82.88,100,5.39,88
Samarai,PG,-10.62,150.67,79.1,100,2.15,76
Novopavlovka,RU,51.21,109.22,0.58,56,2.26,0
Alice Springs,AU,-23.7,133.88,68,37,4.16,0
Dawei,MM,14.07,98.19,67.27,95,1.7,0
Safranbolu,TR,41.25,32.69,27.49,87,1.92,0
Ocosingo,MX,16.91,-92.09,84.68,36,3.27,44
Salalah,OM,17.01,54.1,75.2,64,3.36,0
Jeremie,HT,18.65,-74.12,81.17,83,4.16,0
Mehendiganj,BD,22.82,90.53,70.55,98,5.95,44
San Onofre,CO,9.74,-75.52,86.12,74,9.64,12
Vesyegonsk,RU,58.67,37.27,18.17,87,10.09,76
Idlib,SY,35.93,36.64,53.89,100,6.93,75
Nsanje,MZ,-16.92,35.26,73.75,97,13.44,92
Kodiak,US,39.95,-94.76,13.39,17,14.99,1
Lazurne,UA,46.77,34.99,40.58,75,14.23,80
Qaqortoq,GL,60.72,-46.03,28.4,58,1.12,75
Burnie,AU,-41.05,145.91,58.66,85,10.98,68
Pochutla,MX,15.74,-96.47,85.98,70,9.17,40
Erzurum,TR,39.91,41.27,11.25,92,5.82,75
Kirkwall,GB,58.98,-2.96,41.85,81,14.99,80
Sola,NO,58.89,5.65,40.59,93,5.82,75
Bata,GQ,1.87,9.77,77,100,3.6,40
Nelson Bay,AU,-32.72,152.14,71.55,77,13.87,0
Mount Pleasant,US,33.16,-94.97,32,60,11.41,1
Botiza,RO,47.67,24.15,41.81,71,3.36,8
East London,ZA,-33.02,27.91,73.84,100,17.81,32
Northam,GB,51.04,-4.21,39.99,93,6.93,40
Atbasar,KZ,51.81,68.36,15.88,86,19.04,80
Luau,CD,-10.7,22.23,69.2,83,3.6,8
Sinnamary,GF,5.38,-52.96,80.27,90,11.65,92
Talcahuano,CL,-36.72,-73.12,66.2,52,18.34,0
Evanston,US,42.04,-87.69,12.11,55,8.05,20
Lengshuitan,CN,26.41,111.6,50.08,98,2.37,92
Naze,NG,5.43,7.07,80.6,88,2.24,40
Lasa,CY,34.92,32.53,46.99,87,9.17,40
Marienburg,DE,52.12,9.98,43.97,65,20.8,75
Puri,ID,-7.54,112.45,78.8,100,2.24,40
Tabou,CI,4.42,-7.36,85.4,91,9.42,0
Ponta Delgada,PT,37.73,-25.67,62.6,93,26.4,75
Mount Gambier,AU,-37.83,140.78,59,87,5.82,90
Maloy,ID,1,118.1,79.33,76,3.71,88
Grindavik,IS,63.84,-22.43,26.74,68,14.99,40
Cocal,BR,-3.47,-41.56,80.6,65,6.93,20
Portree,GB,57.41,-6.19,39.49,81,5.99,76
Luwuk,ID,-0.95,122.79,76.63,99,2.93,20
Mujiayingzi,CN,42.12,118.78,27.35,55,5.61,0
Tuktoyaktuk,CA,69.44,-133.03,10.4,85,8.05,5
Carutapera,BR,-1.2,-46.02,79.15,88,7.63,80
Almaznyy,RU,48.03,40.04,37.4,86,20.13,75
Barahona,DO,18.21,-71.1,82.4,65,16.11,20
Pedra Azul,BR,-16.01,-41.28,84.82,39,7.63,80
Pampa,US,35.54,-100.96,21.83,45,3.36,90
Corrente,BR,-17.45,-44.68,77.53,73,2.71,56
Maceio,BR,-9.67,-35.74,78.8,83,3.36,75
Port Moresby,PG,-9.47,147.16,77,83,2.24,20
Deputatskiy,RU,69.3,139.9,-35.34,62,2.71,12
Longyearbyen,NO,78.22,15.63,-2.21,77,4.7,75
Diffa,NE,13.32,12.61,77.75,21,8.97,0
Huanta,PE,-12.94,-74.25,68,52,4.7,75
Singkang,MY,2.1,102.8,77,83,4.7,75
Alofi,NU,-19.06,-169.92,80.6,78,17.22,75
Dong Hoi,VN,17.48,106.6,74.02,99,8.75,24
Kodarma,IN,24.47,85.59,65.38,90,2.71,88
Hualmay,PE,-11.1,-77.61,78.83,62,4.83,12
Avera,US,33.19,-82.53,52.38,54,9.17,75
Lianran,CN,24.92,102.47,50.09,76,15.66,75
Candelaria,CO,3.41,-76.35,87.8,45,10.29,75
Padang,ID,-0.92,100.36,82.43,100,10.98,56
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1.4,64,4.47,0
Nortelandia,BR,-14.45,-56.8,82.93,79,6.96,8
Bambanglipuro,ID,-7.95,110.28,69.97,98,2.82,12
Anjiang,CN,27.32,110.14,42.83,100,2.15,92
Verkhoyansk,RU,67.55,133.39,-21.97,61,2.59,56
San Vicente,SV,13.64,-88.78,85.28,55,10.29,20
Raudeberg,NO,61.99,5.14,35.02,74,3.36,0
Columbus,US,32.46,-84.99,44.19,65,12.75,20
Klaksvik,FO,62.23,-6.59,39.2,99,24.16,92
Necochea,AR,-38.55,-58.74,75.09,51,4,68
Port Macquarie,AU,-31.43,152.91,66.56,83,3.36,64
Sur,OM,22.57,59.53,68.03,100,9.64,0
Viedma,AR,-40.81,-62.99,75.32,30,7.4,64
Tezu,IN,27.93,96.16,47.29,99,1.59,92
Basoko,CD,1.23,23.61,74.78,83,2.04,12
Mola di Bari,IT,41.06,17.09,52.52,54,4.7,0
Atar,MR,20.52,-13.05,66.77,18,7.18,0
Manitouwadge,CA,49.12,-85.84,5,65,6.93,90
Puerto del Rosario,ES,28.5,-13.86,64.4,72,17.22,75
Teguldet,RU,57.31,88.17,25.82,90,6.62,20
Ellisras,ZA,-23.67,27.74,75.55,54,9.64,0
Takoradi,GH,4.89,-1.75,82.97,98,6.96,20
Ribeira Grande,PT,38.52,-28.7,59,87,28.86,75
Yashan,CN,30.81,118.02,42.02,89,1.7,92
Noyabrsk,RU,63.2,75.45,17.23,86,14.56,80
Kungurtug,RU,50.6,97.53,3.55,65,2.48,68
Tambacounda,SN,13.77,-13.67,82.4,23,4.7,0
Mathbaria,BD,22.29,89.96,70.28,94,7.07,24
Souillac,FR,45.6,-0.6,47.08,81,6.93,0
Birjand,IR,32.86,59.22,46.4,61,20.8,0
Khatanga,RU,71.98,102.47,3.05,82,12.66,88
West Plains,US,36.73,-91.85,27.25,38,8.05,1
Nha Trang,VN,12.24,109.19,71.6,88,5.82,20
Saint George,GR,39.45,22.34,45.63,65,5.82,0
Suluova,TR,40.83,35.65,30.2,80,4.7,0
Labuhan,ID,-2.54,115.51,71.5,94,1.14,20
Nemuro,JP,43.32,145.57,27.85,100,14.79,0
Sivaki,RU,52.63,126.75,-0.69,75,3.94,0
Sabang,PH,13.72,123.58,75.95,95,9.75,88
San Rafael,AR,-34.61,-68.33,82.07,19,5.06,8
Namatanai,PG,-3.66,152.44,82.52,100,8.97,88
Warrington,GB,53.39,-2.59,38.62,80,10.29,20
Kavaratti,IN,10.57,72.64,81.4,100,10.31,0
Sorrento,AU,-31.82,115.75,68.18,60,17.22,24
Kiunga,PG,-6.12,141.3,73.21,92,2.15,56
Beringovskiy,RU,63.05,179.32,29.78,83,19.04,8
Bubaque,GW,11.28,-15.83,83.47,75,9.86,0
Seydi,NE,13.34,7.75,75.68,26,8.86,0
Ippy,CF,6.26,21.2,75.23,65,3.49,0
Romanovo,RU,56.49,40.39,27.49,92,10.31,92
Lexington,US,38.05,-84.5,26.24,53,10.29,1
Kisangani,CD,0.52,25.21,76.67,89,2.59,8
Mezen,RU,65.85,44.24,9.04,83,6.06,64
Tura,IN,25.52,90.21,58.63,93,2.71,100
Kokopo,PG,-4.34,152.27,79.78,100,3.15,48
Biak,ID,-0.91,122.88,76.63,99,2.93,20
Pemba,MZ,-12.97,40.52,80.22,94,9.17,75
Batagay-Alyta,RU,67.8,130.41,-21.75,29,2.93,8
Tual,ID,-5.67,132.75,81.94,100,9.42,56
Mitchell,US,43.71,-98.03,9.64,60,20.8,1
Pritzwalk,DE,53.15,12.18,44.71,65,8.99,92
Samana,EC,0.12,-76.97,89.6,59,9.17,20
Chicama,PE,-7.84,-79.15,77,83,10.29,75
Mogadishu,SO,2.04,45.34,80.27,100,20.15,20
Luganville,VU,-15.51,167.18,83.47,94,9.42,80
Bartica,GY,6.41,-58.62,80.32,69,5.61,92
Opmeer,NL,52.7,4.95,45.97,81,20.8,75
Medea,DZ,36.27,2.77,51.8,76,4.7,0
Kiruna,SE,67.86,20.23,1.4,77,5.82,0
Marawi,PH,8,124.29,70,86,5.01,0
Codrington,AU,-28.95,153.24,68.77,93,3.6,75
Leningradskiy,RU,69.38,178.42,7.42,98,3.27,56
Galle,US,29.74,-97.91,37.08,55,14.99,90
Bonthe,SL,7.53,-12.5,80.41,70,4.94,0
Quang Ngai,VN,15.12,108.8,61.6,91,2.04,0
Kulhudhuffushi,MV,6.62,73.07,83.78,98,6.62,68
Balkhash,KZ,46.84,74.98,19.84,72,10.09,0
Korhogo,CI,9.46,-5.63,77.71,31,6.4,8
Pisco,PE,-13.71,-76.2,71.6,30,8.05,0
Genhe,CN,50.78,121.52,15.16,77,7.63,68
Fukue,JP,35.03,136.69,45.82,66,24.16,20
Paraibano,BR,-6.43,-43.99,73.3,98,1.59,92
Kirn,DE,49.79,7.46,42.12,86,14.99,40
Malindi,KE,-3.22,40.12,80.9,96,7.96,20
Pecos,US,31.42,-103.49,33.58,47,9.17,90
Harper,US,30.3,-99.24,34.38,66,12.75,90
Kaeo,NZ,-35.1,173.78,68,72,8.01,24
Tagusao,PH,9.19,117.81,74.87,97,3.15,8
Natal,BR,-5.81,-35.21,79.24,87,7.74,92
Sharanga,RU,57.18,46.54,12.82,87,3.38,32
Fort Nelson,CA,58.81,-122.69,23,49,12.75,5
Tarko-Sale,RU,64.92,77.78,6.01,84,5.01,88
Oussouye,SN,12.49,-16.54,73.45,77,4.7,0
Enumclaw,US,47.2,-121.99,43.12,19,4.72,1
Ovre Ardal,NO,61.32,7.8,33.8,74,14.99,75
Celestun,MX,20.87,-90.4,81.53,90,12.44,0
Olinda,EC,-2.03,-79.75,84.99,74,10.29,75
San Quintin,PH,17.54,120.52,59.71,80,2.71,0
Casas Grandes,MX,30.15,-110.24,77.12,14,2.71,20
Clonakilty,IE,51.62,-8.87,39.81,86,10.29,40
Rio Bueno,JM,18.47,-77.46,82.4,69,18.34,40
Luwingu,ZM,-10.26,29.92,64.21,87,3.94,64
Nanortalik,GL,60.14,-45.24,26.41,100,7.63,0
Kleive,NO,62.8,7.64,30.54,64,17.22,40
Coquimbo,CL,-29.95,-71.34,68,68,13.87,0
Benguela,AO,-12.58,13.4,80.59,100,6.4,24
Melivoia,GR,41.33,24.93,46.44,81,4.7,20
Miranda,CO,3.25,-76.23,87.8,45,10.29,75
Noumea,NC,-22.28,166.46,80.6,78,1.12,0
Chumikan,RU,54.72,135.31,6.52,55,8.41,0
Bridlington,GB,54.08,-0.19,40.55,80,17.22,0
Tall Kayf,TR,37.08,41.07,46.4,81,9.17,40
Puerto Narino,CO,-3.77,-70.38,80.6,94,3.36,75
Faya,SA,18.39,42.45,59,33,4.7,0
Bonavista,CA,48.65,-53.11,24.01,88,8.99,32
Srednekolymsk,RU,67.46,153.71,-12.84,59,3.83,80
San Patricio,PY,-26.98,-56.83,91.75,43,4.27,0
Namie,JP,37.52,140.86,35.78,86,3.36,75
Arlit,NE,18.74,7.39,64.03,29,3.83,0
Praia,BR,-20.25,-43.81,77.85,54,10.29,20
Palu,ID,-0.9,119.87,65.29,95,1.7,44
Chapel Hill,US,35.91,-79.06,48.43,45,6.93,1
Xining,CN,36.62,101.77,13.99,86,2.82,24
Yeniseysk,RU,58.45,92.17,22.27,82,6.4,0
Matay,EG,28.42,30.79,57.1,47,6.85,100
Umm Kaddadah,SD,13.6,26.69,70.37,26,10.2,0
Ouadda,CF,8.07,22.4,72.62,66,3.38,24
Husavik,CA,50.56,-96.99,12.99,75,15.01,64
Shenjiamen,CN,29.96,122.3,49.22,87,11.43,88
Linxia,CN,35.6,103.21,26.14,91,1.48,88
Abadan,IR,30.36,48.26,60.8,59,4.7,0
Puerto Carreno,CO,6.19,-67.49,96.8,39,2.59,20
Linjiang,CN,41.81,126.91,11.38,58,3.27,8
Rio Gallegos,AR,-51.62,-69.22,59,19,27.51,20
Tongchuan,CN,34.9,108.95,35.6,93,4.47,80
Broome,GB,52.47,1.45,42.1,70,17.22,20
Morondava,MG,-20.3,44.28,80.41,98,3.15,44
Manadhoo,MV,5.77,73.38,83.83,98,7.4,68
Douentza,ML,15.01,-2.95,64.93,38,4.94,8
Touros,BR,-5.2,-35.46,80.27,89,7.96,88
Parana,BR,-7.52,-72.89,91.4,59,4.7,75
Pevek,RU,69.7,170.27,-0.28,86,5.61,32
Banchory,GB,57.05,-2.5,36.82,69,5.82,24
Santa Lucia,IT,39.93,9.66,62.8,58,14.99,40
Yelkhovka,RU,53.87,50.29,21.2,92,6.71,40
Richards Bay,ZA,-28.77,32.06,73.12,98,10.09,80
Waipawa,NZ,-39.94,176.59,62.05,63,10.54,0
Punto Fijo,VE,11.69,-70.21,86.93,53,24.07,20
Khorramshahr,IR,30.43,48.18,60.8,59,4.7,0
Sept-Iles,CA,50.2,-66.38,25.93,92,10.29,90
Bayan,MN,47.25,107.54,5.98,54,6.29,0
Isla Mujeres,MX,21.23,-86.73,82.22,65,11.41,75
Baykit,RU,61.68,96.39,21.55,85,5.95,68
Lalibela,ET,12.04,39.05,46.48,98,2.04,24
Inzhavino,RU,52.33,42.5,33.2,96,9.64,80
Juneau,US,58.3,-134.42,35.6,34,2.37,20
